,Company Name,company contact,company email,company phone,Address,City,State,Postcode,Industry,Industry descr,Company Type,Current fulltime,Job created,Job retain,Effective Date,Total Savings,Savings from beginning receiving benefits,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
90,Brunetti & Brunetti LLC,Cheryl Brunetti,,2129513501,40 Rector Street,NY,NY,10006,Commercial,,ECSP,123.0,,,01/02/2013,10858.38,35001.67,New York,40.708356,-74.014814,101.0,1.0,13.0,1088750.0,1000557501.0,Battery Park City-Lower Manhattan
110,Constitution Realty LLC (Ldmk),Joe Dorio,,2123442151,26 Broadway,New York,NY,10004,Landlord,,ECSP,2675.0,,,03/05/2009,172185.05,2827023.71,New York,40.70568,-74.013302,101.0,1.0,9.0,1000811.0,1000220013.0,Battery Park City-Lower Manhattan
124,"DBAB Wall Street, LLC.",Diana Sweeney,,2126165116,"100 William Street, Ste 2002",New York,NY,10038,Commercial,48 story building,ECSP,,,,07/01/2011,742825.88,17023100.96,New York,40.708497,-74.007477,101.0,1.0,1502.0,1001116.0,1000680036.0,Battery Park City-Lower Manhattan
299,New Water Street  Corp,Rich Neal,,2124719465,55 Water Street,New York,NY,10041,Commercial,53 story building,ECSP,500.0,,,08/30/2019,1568981.59,3396544.16,New York,40.703597,-74.009781,101.0,1.0,9.0,1083346.0,1000327501.0,Battery Park City-Lower Manhattan
3,1-10 Bush Terminal Owner LP,Andrew Kimball,akimball@industrycity.com,3474178429,"220 36th St, Suite 2A",Brooklyn,NY,11232,Landlord,Special Eligible Premises for eligible businesses,ECSP,25.0,,,02/03/2020,2159.67,6755.31,Brooklyn,40.656061,-74.007334,307.0,38.0,2.0,3398687.0,3006950020.0,Sunset Park West
21,"ABEL CINE TECH, INC.",Rich Abel,rich@abelcine.com,6469339992,"88 35th St, 4th Fl",Brooklyn,NY,11232,Commercial,"Rental, resale and service motion picture cameras and accessories",ECSP,86.0,,,04/02/2020,5268.09,16944.18,Brooklyn,40.656475,-74.006484,307.0,38.0,18.0,3336903.0,3006910001.0,Sunset Park West
23,Accenture LLP,Tracy Lesnau,tracy.lesnau@accenture.com,9259745848,219 36th Street,Brooklyn,NY,11232,Commercial,Global consulting firm,ECSP,63.0,,,04/03/2019,11789.99,16571.14,Brooklyn,40.656077,-74.007331,307.0,38.0,18.0,3345565.0,3006910001.0,Sunset Park West
27,AECOM Technical Services Inc,Sarah Robinson,sarah.robinson1@consultant.aecom.com,2128960109,"220 36th St, Suite 2-5-A",Brooklyn,NY,11232,Commercial,design and construction management,ECSP,27.0,,,05/01/2020,1868.34,8412.79,Brooklyn,40.656061,-74.007334,307.0,38.0,2.0,3398687.0,3006950020.0,Sunset Park West
38,"ALLIED SAMPLE CARDS CO., INC.",MARC TRAGER,alliedsamplecard@netzero.net,7182380523,"140 58th St, Bldg A, Suite 3M",Brooklyn,NY,11220,Manufacturing,"MGF OF FOLDERS, FBR BKS",ECSP,17.0,,,07/03/2014,512.84,14654.07,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
40,Allstate Medical Supplies LLC,Martin Weiss,martinw@allstatemedical.com,7183697100,"34 35th Street, Unit B530",Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,medical supplies for facilities,ECSP,24.0,,,02/21/2020,1538.23,6121.13,Brooklyn,40.657,-74.007356,307.0,38.0,18.0,3336903.0,3006910001.0,Sunset Park West
51,"Approved Oil Co. of Brooklyn, Inc.",Vincent Theures,vincenttheures@approvedoil.com,7182381050,202-224 64th Street,Brooklyn,NY,11220,Commercial,Dist. of Heating Oil,ECSP,140.0,,,10/14/2010,2691.22,23570.39,Brooklyn,40.641028,-74.024841,307.0,38.0,22.0,3144127.0,3058160006.0,Sunset Park West
64,"BARONE STEEL FABRICATORS, INC.",NICK BARONE,nbarone@baronesteel.com,7188324705,128 44th Street,BROOKLYN,NY,11232,Manufacturing,Fabricator and erector of structural steel,ECSP,57.0,,,02/12/2008,3283.98,167921.5,Brooklyn,40.65331,-74.014866,307.0,38.0,18.0,3320138.0,3007350050.0,Sunset Park West
68,"BENSON MILLS, INC.",GABE LEVY,gabe@bensonmills.com,7185321401,140 58TH ST. BLDG. A UNIT 7J,Brooklyn,NY,11220,Manufacturing,MANUFACTURING,ECSP,15.0,,,10/02/2009,1152.62,31675.14,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
70,"BEST CASE & ACCESSORIES, INC.",MURRAY DANA,MDANA@BESTCASECELLULAR.COM,8003468746,140 58TH STREET,Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,DISB. CELLULAR PHONES,ECSP,20.0,,,05/15/2015,4717.77,30851.48,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
73,"Bestec Concept, Inc.",Peter Kim,maxivision@msn.com,7189375848,"140 58th Street, Bldg B #8D",Brookln,NY,11220,Manufacturing,Dress uniforms,ECSP,140.0,,,09/01/2016,22853.53,89502.63,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
82,"Breuckelen Distilling Co., Inc.",Bradford Estabrooke,info@brkdistilling.com,3477254985,"75-77 19th St, 1A First Floor",Brooklyn,NY,11232,Manufacturing,Distiller of Spirits,ECSP,1.0,,,03/16/2010,1242.38,27719.74,Brooklyn,40.665937,-73.997971,307.0,38.0,18.0,3336793.0,3006320004.0,Sunset Park West
86,Brooklyn Immuno Therapeutics LLC,Cheryl Rau,crau@brooklynitx.com,2125821199,"140 58th Street, Building A, Suite 2100",Brooklyn,NY,11220,Manufacturing,Drugs to fight cancer and other viral diseases,ECSP,8.0,,,11/14/2016,6034.54,16676.9,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
87,Brooklyn Nets,Jeffrey Gewirtz,jgewitrtzbrooklynnets.com,7189429544,146-168 39th Street,Brooklyn,NY,11216,Commercial,Administrative Back office,ECSP,62.0,,,06/13/2016,141833.39,2197349.92,Brooklyn,40.655973,-74.01167,307.0,38.0,18.0,,,Sunset Park West
97,"CAVCO ROOFING, INC.",Robert Cavallino,rob@cavcoroofing.com,7182652551,338 37TH STREET,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,roof fabricator & contractor,ECSP,8.0,,,06/12/2009,235.26,4394.39,Brooklyn,40.654403,-74.006109,307.0,38.0,84.0,3000000.0,3007000019.0,Sunset Park West
107,Comp Trading LLC,Michael Sasson,michael@mtmsalescorp.com,2015201366,241 37th St. Suite B460,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,Supply Casino with promotional/giveaways,ECSP,4.0,,,12/03/2019,1387.94,2741.38,Brooklyn,40.6558,-74.008408,307.0,38.0,2.0,3336906.0,3006950001.0,Sunset Park West
114,Cotronics Corporation,Renee Bernstein,Renee@cotronics.com,7187885533,131 47th Street,Brooklyn,NY,11232,Manufacturing,Manufactures and distrbutes high temper materials and condutive adhesives,ECSP,18.0,,,05/15/2013,5096.14,30949.25,Brooklyn,40.65163,-74.016574,307.0,38.0,18.0,3322614.0,3007350120.0,Sunset Park West
115,"Crepini, LLC",Eric Shkolnik,paula@crepini.com,7183720505,5600 1st Avenue,Brooklyn,NY,11220,Manufacturing,mfg branded line of crepes,ECSP,5.0,,,10/13/2011,5580.07,152892.17,Brooklyn,40.646985,-74.022721,307.0,38.0,18.0,3255737.0,3008190001.0,Sunset Park West
116,"Crystal Lake Trading, Inc.",Peter Fung,pfung@crystallaketrading.com,7187590088,140 58th Street Bldg. B Unit 4B,Brooklyn,NY,11220,Manufacturing,Mfg. of Dresses,ECSP,3.0,,,11/01/2010,5012.6,106234.66,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
122,"Dart Medical Labortory, Inc.",Zina Korposh,info@dartmedicallab.com,7189341918,140 58th Street Bldg. A Unit 3L,Brooklyn,NY,11220,Commercial,Clinical Laboratory testing facility,ECSP,22.0,,,03/19/2015,4160.38,34562.74,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
128,DEPOSITORY TRUST COMPANY,Devika khusial,Dkhusial@DTCC.com,2128558287,140 58TH STREET,Brooklyn,NY,11220,Commercial,DATA PROCESSING,ECSP,100.0,,,07/03/2013,335778.11,2376660.64,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
154,"E-Z Ink, Inc.",Oleg Zoan,oleg.ezink@gmail.com,7183698211,140 58th Street Bldg. B Unit 4E,Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,Industrial Supply Wholesalers,ECSP,38.0,,,09/03/2014,564.38,57013.29,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
200,"HI INTERIORS, INC.",GREGORY MADZIO,,2126860401,62 18TH STREET 6TH FL,BROOKLYN,NY,11215,Manufacturing,Cabinets and doors,ECSP,7.0,,,08/10/2007,-23.92,22304.07,Brooklyn,40.666626,-73.997675,307.0,38.0,18.0,3336793.0,3006320004.0,Sunset Park West
210,"I. AM. Malia Mills, LLC",Carol Mills,carol@maliamills.com,2123544200,32 33rd Street,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,Women apparel,ECSP,13.0,,,10/30/2018,4726.0,6472.27,Brooklyn,40.658251,-74.006433,307.0,38.0,18.0,3336897.0,3006830001.0,Sunset Park West
211,"IDL Communications and Electric, Inc",Eva Rose Cupit,ecupit@idlelectric.com,7184429099,"850 Third Ave, #408",Brooklyn,NY,11232,Commercial,Electrical Contractors,ECSP,89.0,,,02/12/2020,212.59,212.59,Brooklyn,40.658518,-74.003327,307.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West
221,Jacques Torres Manufacturing LLC,Jacques  Torres,jacques@mrchocolate.com,2124142462,140 58th Street,Brooklyn,NY,11220,Manufacturing,chocolates and bakery products,ECSP,23.0,,,07/03/2013,2835.81,38779.91,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
229,"Jewels For Me, Inc.",Thomas Izsak,tomifm@gmail.com,7183617527,162 44th Street,Brooklyn,NY,11232,Manufacturing,jewelry,ECSP,10.0,,,11/14/2016,1811.56,8825.18,Brooklyn,40.652989,-74.014333,307.0,38.0,18.0,3322615.0,3007350070.0,Sunset Park West
246,Kleins Naturals Ltd.,Robert Morel,cityonere@aol.com,7183490050,4702 Second Ave,Brooklyn,NY,11232,Manufacturing,Mfg. of Nuts,ECSP,45.0,,,11/13/2009,40015.98,497701.54,Brooklyn,40.650686,-74.015287,307.0,38.0,18.0,3250698.0,3007620035.0,Sunset Park West
248,"Kopelevich & Feldsherova, PC",Mikhail Kopelevich,mkopelevich@kflawny.com,7183320577,241 37th St. Suite B439,Brooklyn,NY,11237,Commercial,Back Office,ECSP,10.0,,,12/03/2019,639.53,1190.21,Brooklyn,40.6558,-74.008408,307.0,38.0,2.0,3336906.0,3006950001.0,Sunset Park West
249,"Krasnyi Oktybar, Inc.",Semyow Kutsura,gvgendel@gmail.com,7188586720,60 20th Street,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,Commercial Imports and distributor of Ethnic foods from Eastern Europe,ECSP,17.0,,,04/12/2018,11774.89,31301.35,Brooklyn,40.665171,-73.998144,307.0,38.0,18.0,3336798.0,3006350010.0,Sunset Park West
251,LaFarge North America,William J. Kastin,bill.kastin@lafarge-na.com,7184999205,75 25th Street,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,Portland and slag cement,ECSP,5.0,,,07/12/2007,300.1,186533.54,Brooklyn,40.662023,-74.000588,307.0,38.0,18.0,3414710.0,3006440109.0,Sunset Park West
254,LEE SPRINGS COMPANY,Susan Fermisco,sfermisco@leespring.com,7183625185,140 58th St. 3C,Brooklyn,NY,11220,Manufacturing,MGF OF METAL SPRING,ECSP,168.0,,,09/03/2014,5607.59,101143.89,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
263,M & R CPA's LLP,Frank Musacchio,frank@mandrcpas.com,9293378740,241 37th St. Suite A304,Brooklyn,NY,11232,Other,"full-service accounting firm specialize in the retail, wholesale, real estate,",ECSP,8.0,,,02/03/2020,1371.57,2852.54,Brooklyn,40.6558,-74.008408,307.0,38.0,2.0,3336906.0,3006950001.0,Sunset Park West
280,"Mesorah Publications, Ltd & Sefercraft, Inc",Rabbi Meir Zlotowitz,MEIR@MESORAH.COM,7189219000,4401 2nd Ave,Brooklyn,NY,11232,Manufacturing,"Publisher, bookbinder and printer",ECSP,108.0,,,03/18/2013,9369.06,80895.39,Brooklyn,40.652366,-74.013511,307.0,38.0,2.0,3337169.0,3007360001.0,Sunset Park West
282,"MKJ Communications, Inc",Jennifer Herman,jherman@mkjcomm.com,2122060072,"850 Third Ave, Suite 407A",Brooklyn,NY,11232,Commercial,"Communications design, engineering and system installation",ECSP,18.0,,,04/12/2018,1347.27,3922.81,Brooklyn,40.658518,-74.003327,307.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West
289,"MYT Works, Inc",Etienne Sauret,etienne@mytworks.com,2123373789,138 30th Street,Brooklyn,NY,11232,Manufacturing,Mfg & design camera support systems for the film industry,ECSP,5.0,,,01/11/2019,3436.76,9083.2,Brooklyn,40.658304,-74.002004,307.0,38.0,101.0,3009895.0,3006720019.0,Sunset Park West
291,National Bias Binding Corp.,Jay Gagliano,jay@nationaltextile.net,7184394800,"140 58th Street, Bldg. A , Unit 2L",Brooklyn,NY,11220,Manufacturing,Mfg. of binding & termming,ECSP,10.0,,,03/06/2015,1144.88,9237.08,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
306,Nova Offset Corp,Lance Burns,lance@novaprinting.com,2123491233,226 52nd Street,Brooklyn,NY,11220,Manufacturing,Printer,ECSP,15.0,,,10/15/2015,5894.91,31951.92,Brooklyn,40.647523,-74.017362,307.0,38.0,20.0,3388019.0,3008050119.0,Sunset Park West
315,"One Girl Cookies, Ltd.",David Crofton,dave@onegirlcookies.com,2126754996,"254 36th Street, Unit 17",Brooklyn,NY,11232,Commercial,Bake Goods,ECSP,18.0,,,03/17/2020,1926.8,5824.16,Brooklyn,40.655951,-74.007158,307.0,38.0,2.0,3398687.0,3006950020.0,Sunset Park West
333,"Postmeds, Inc.",Jesse Brummer,jesse.brummer@truepill.com,4156152145,850 Third Ave,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,Online pharmacy delivery services.,ECSP,3.0,,,11/08/2019,1417.84,1740.24,Brooklyn,40.658518,-74.003327,307.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West
363,"SILLY PHILLIE CREATIONS, INC.",RICHARD SIDAO,richard@sillyphillie.com,7184926300,140 58TH STREET BLDG. B UNIT 6F,Brooklyn,NY,11220,Manufacturing,MGF BABY CLOTHES & GIFTS,ECSP,18.0,,,07/03/2013,1549.91,16892.26,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
403,"Toner Quest, Inc.",Jacob (JJ) Fried,jj@tonerquest.com,7187059628,241 37th St. Suite #302,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,office products,ECSP,12.0,,,03/04/2020,551.44,1435.35,Brooklyn,40.6558,-74.008408,307.0,38.0,2.0,3336906.0,3006950001.0,Sunset Park West
419,Urban Green LLC,Elias  Didaskalou,urbangreenfurniture.com,7185670777,"140 58th Street, Bldg B, #8F",Brooklyn,NY,11220,Manufacturing,furniture manufacturing,ECSP,11.0,,,03/06/2015,3066.42,29194.62,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
422,"Valon Realty, LLC",Agim Lleshi,allroofingcorp@aol.com,7184399101,260 51st Street,Brooklyn,NY,11220,Commercial,Lanlord,ECSP,12.0,,,10/14/2010,724.67,8214.25,Brooklyn,40.64776,-74.016249,307.0,38.0,20.0,3398918.0,3007970030.0,Sunset Park West
426,"Vera Institute of Justice, Inc.",Lidia Shelley,Lshelley@vera.org,2123341300,"34 35th St, Sts 4-2A, 4-3A, 4-3BNW",Brooklyn,NY,11232,Commercial,Criminal JusticePolicy Research & Technical Assistance,ECSP,165.0,,,02/10/2020,7437.29,25554.95,Brooklyn,40.657,-74.007356,307.0,38.0,18.0,3336903.0,3006910001.0,Sunset Park West
430,VIVA TIME CORP.,CHAYA HARARI,jpharari@vivatime.com,7184928730,140 58TH STREET BLDG B UNIT 7F,Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,IMPORT/EXPORT OF WATCHES,ECSP,10.0,,,12/04/2014,2853.32,30002.6,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
441,WIGGBY PRECISION MACHINE CORP.,RONALD WIGGBERG,wiggbyprecision@prodigy.net,7184396900,140 58th  Street Bldg. A Unit 8,Brooklyn,NY,11220,Manufacturing,MANUFACTURING,ECSP,48.0,,,05/15/2015,11280.95,76226.25,Brooklyn,40.645338,-74.022864,307.0,38.0,18.0,3414976.0,3057780001.0,Sunset Park West
443,"William Hird & Co., Inc.",Thomas E. Bury,tebury@hirdco.com,7184994881,255 40th Street,Brooklyn,NY,11232,Manufacturing,Manufacture fire protection systems,ECSP,24.0,,,07/11/2008,1180.2,36644.27,Brooklyn,40.653997,-74.009925,307.0,38.0,2.0,3010468.0,3007070053.0,Sunset Park West
6,"139 ACA Realty, Inc.",Eitan Chandally,barbara@dial7.com,7187076123,43-23 35th Street,Long Island City,NY,11101,Commercial,Limousine Service,ECSP,125.0,,,04/07/2008,1637.29,129401.39,Queens,40.745706,-73.929565,402.0,26.0,179.0,4003160.0,4002220017.0,Hunters Point-Sunnyside-West Maspeth
12,"21st Century Optics, Inc.",Ralph Woythaler,rwoythaler@21st centuryoptics.com,7183922310,47-00 33rd Street,Lond Island City,NY,11101,Manufacturing,Eye glasses,ECSP,130.0,,,01/07/2009,28291.04,288983.01,Queens,40.742386,-73.932148,402.0,26.0,199.0,4003447.0,4002520018.0,Hunters Point-Sunnyside-West Maspeth
15,538-540 West 35 Corp,Richard Silver,tankman220@aol.com,2127366618,11-42 46th Road,Queens,NY,11101,Manufacturing,"steel, wood & cement tanks",ECSP,16.0,,,06/07/2010,4853.46,56744.11,Queens,40.74551,-73.949497,402.0,26.0,7.0,4436616.0,4000560047.0,Hunters Point-Sunnyside-West Maspeth
36,"All City Metal, Inc.",Frank Buccola,Johnmd@allcitymetal.com,7184725700,54-35 46th Street,Long Island City,NY,11101,Manufacturing,Sheet Metal design and fabrication,ECSP,65.0,,,05/15/2015,25418.76,118916.37,Queens,40.730657,-73.922148,402.0,30.0,205.0,4058877.0,4025460001.0,Hunters Point-Sunnyside-West Maspeth
41,ALRUE IMPORT COPR.,Avi Shaul,avi@alrue.com,7183928877,10-40 45TH AVENUE,Long Island City,NY,11101,Manufacturing,Mfg. of Jewelry Setting,ECSP,6.0,,,06/07/2011,7448.69,78631.89,Queens,40.748053,-73.951224,402.0,26.0,7.0,4000411.0,4000500017.0,Hunters Point-Sunnyside-West Maspeth
44,American Folk Art Museum,Anne-Imelda Radice,areilly@folkartmuseum.org,2122651040,32-23 48th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,Fine Art Storage & Collection,ECSP,5.0,,,03/10/2015,8115.63,39891.42,Queens,40.740913,-73.93324,402.0,26.0,199.0,4003446.0,4002520001.0,Hunters Point-Sunnyside-West Maspeth
47,"AMY SCHERBER, INC.",AMY SCHERBER,amy@amysbread.com,2124622038,48-09 34th St.,Long Island City,NY,11101,Manufacturing,WHOLESALE BAKERY,ECSP,130.0,,,01/07/2013,33292.12,219841.25,Queens,40.740357,-73.93158,402.0,26.0,199.0,4003452.0,4002540036.0,Hunters Point-Sunnyside-West Maspeth
57,B. Thayer Associates,Barbara  Thayer,bthayer@bthayerassociates.com,7189423320,37-18 Northern Blvd,Long Island City,NY,11101,Other,Landscape Architect,ECSP,4.0,,,01/02/2015,1244.62,6519.95,Queens,40.752096,-73.925887,401.0,26.0,171.0,4003103.0,4002140040.0,Hunters Point-Sunnyside-West Maspeth
58,B.C.S. International Corporation,Dae Hyun  Yoo,david@bcsroyal.com,7183923355,47-15 33rd St,Queens,NY,11101,Wholesale/Warehouse/Distribution,Groceries,ECSP,12.0,,,12/06/2007,4462.17,317144.12,Queens,40.742197,-73.932167,402.0,26.0,199.0,4311535.0,4002510015.0,Hunters Point-Sunnyside-West Maspeth
63,"BARK FRAMEWORKS, INC.",Jared  Bark,jbark@barkframeworks.com,7187521919,21-24 44TH AVENUE,Queens,NY,11101,Manufacturing,MFG. (WOOD PRODUCTS),ECSP,53.0,,,06/08/2015,18951.44,103539.43,Queens,40.74942,-73.946282,402.0,26.0,19.0,4005191.0,4004390027.0,Hunters Point-Sunnyside-West Maspeth
69,Bermuda Motor Car Renting Co.,Robert A. Verdi,peter@bermudalimo.com,2122432591,21-30 44th Road,Long Island City,NY,11101,Commercial,Back Office,ECSP,90.0,,,06/08/2012,4879.42,39328.71,Queens,40.748624,-73.945972,402.0,26.0,19.0,4005184.0,4004380026.0,Hunters Point-Sunnyside-West Maspeth
76,BIMMY'S LLC,ELLIOT FREAD,elliot@bimmys.com,7183613144,47-00 33rd Street,Long Island City,NY,11101,Manufacturing,MANUFACTURER,ECSP,192.0,,,03/09/2017,31803.62,96057.08,Queens,40.742386,-73.932148,402.0,26.0,199.0,4003447.0,4002520018.0,Hunters Point-Sunnyside-West Maspeth
81,"BoyceTechnologies, Inc.",Charles Boyce,nmenon@boycetech.com,718685252,47-22 Pearson Place,Long Island City,NY,11101,Manufacturing,Life Saving Communication Devices,ECSP,73.0,,,03/09/2017,90699.74,273099.33,Queens,40.742724,-73.942538,402.0,26.0,1.0,4000743.0,4000990010.0,Hunters Point-Sunnyside-West Maspeth
83,BRIDGE PLAZA ASSOCIATES LLC,GARY KESNER,gkesner@silvercupstudios.com,7187843390,21-21 43RD AVE.,QUEENS,NY,11101,Manufacturing,Film Studio,ECSP,51.0,,,02/06/2019,20274.39,25201.79,Queens,40.750158,-73.944653,402.0,26.0,19.0,4005071.0,4004270011.0,Hunters Point-Sunnyside-West Maspeth
91,"Burden, LLC",Jonathan Burden,info@jonathanburden.com,2129418247,47-20 33rd Street,Long Island City,NY,11101,Manufacturing,Manufacture and refurbisher of furniture,ECSP,6.0,,,12/07/2016,1158.02,2874.67,Queens,40.742122,-73.932203,402.0,26.0,199.0,4003447.0,4002520018.0,Hunters Point-Sunnyside-West Maspeth
93,"Caples Jefferson Architects, PC",Sara  Caples,sarac@capjeff.com,2127799772,37-18 Northern Blvd.,Queens,NY,11101,Commercial,"architectural services, bldg design",ECSP,6.0,,,10/30/2011,549.56,5972.73,Queens,40.752096,-73.925887,401.0,26.0,171.0,4003103.0,4002140040.0,Hunters Point-Sunnyside-West Maspeth
99,Chelsea Plastics Corp/Plexi-Craft Quality Products,Allen Frechter,allen@plexi-craft.com,2129243244,30-02 48th Avenue,Long Island City,NY,11101,Manufacturing,Acrylic furniture,ECSP,15.0,,,03/31/2016,11775.69,45530.62,Queens,40.741426,-73.937833,402.0,26.0,199.0,4003546.0,4002870011.0,Hunters Point-Sunnyside-West Maspeth
101,Christie's Inc.,Edward Dolman,jkuduk@christies.com,2126362602,32-35 48th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,Commercial Auction house and warehouse,ECSP,40.0,,,06/07/2011,14656.28,341927.86,Queens,40.740902,-73.933139,402.0,26.0,199.0,4003446.0,4002520001.0,Hunters Point-Sunnyside-West Maspeth
103,City Baking LLC aka Bakery City LLC,Barry Blaine,citybaking@aol.com,7183928514,10-41 45th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,Commercial Baker,ECSP,19.0,,,07/08/2014,9463.36,49780.68,Queens,40.748069,-73.951216,402.0,26.0,7.0,4000427.0,4000510016.0,Hunters Point-Sunnyside-West Maspeth
105,"Collins Building Services, Inc.",Arthur J. Viviani,Aviviani@cbs-collins.com,2128965144,24-01 44th Road,Long Island City,NY,11101,Commercial,Janitorial services firm,ECSP,2424.0,,,10/03/2008,619.16,40423.96,Queens,40.748206,-73.943731,402.0,26.0,19.0,4005157.0,4004350001.0,Hunters Point-Sunnyside-West Maspeth
